Orden,Materia,Semestre,Bloque,Carrera,Código,Programa,Categoría,Optativa,Lenguaje,SEDI,Estancia Empresarial,Ruta de Enfoque,Ruta_Enfoque
42,SEDI XIV,7,2,Licenciatura en Ingeniería Industrial,IIN,S24,SEDI,0,0,XIV,0,0,0
5,Inglés I,1,2,Licenciatura en Ingeniería Industrial,IIN,S24,Lenguaje,0,I,0,0,0,0
11,Inglés II,2,2,Licenciatura en Ingeniería Industrial,IIN,S24,Lenguaje,0,II,0,0,0,0
17,Inglés III,3,2,Licenciatura en Ingeniería Industrial,IIN,S24,Lenguaje,0,III,0,0,0,0
23,Inglés IV,4,2,Licenciatura en Ingeniería Industrial,IIN,S24,Lenguaje,0,IV,0,0,0,0
29,Inglés V,5,2,Licenciatura en Ingeniería Industrial,IIN,S24,Lenguaje,0,V,0,0,0,0
35,Inglés VI,6,2,Licenciatura en Ingeniería Industrial,IIN,S24,Lenguaje,0,VI,0,0,0,0
41,Inglés VII,7,2,Licenciatura en Ingeniería Industrial,IIN,S24,Lenguaje,0,VII,0,0,0,0
43,Estancia Empresarial I,8,1,Licenciatura en Ingeniería Industrial,IIN,S24,Estancia Empresarial,0,0,0,I,0,0
44,Estancia Empresarial II,8,1,Licenciatura en Ingeniería Industrial,IIN,S24,Estancia Empresarial,0,0,0,II,0,0
45,Estancia Empresarial III,8,2,Licenciatura en Ingeniería Industrial,IIN,S24,Estancia Empresarial,0,0,0,III,0,0
1,Fundamentos De Programación,1,1,Licenciatura en Ingeniería en Desarrollo de Software,IDS,S24,Tronco Común,0,0,0,0,0,0
2,Computación En La Nube,1,1,Licenciatura en Ingeniería en Desarrollo de Software,IDS,S24,Tronco Común,0,0,0,0,0,0
4,Probabilidad Y Estadística Para Ciencia De Datos,1,2,Licenciatura en Ingeniería en Desarrollo de Software,IDS,S24,Tronco Común,0,0,0,0,0,0
7,Programación Orientada A Objetos,2,1,Licenciatura en Ingeniería en Desarrollo de Software,IDS,S24,Tronco Común,0,0,0,0,0,0
8,Sistemas Operativos,2,1,Licenciatura en Ingeniería en Desarrollo de Software,IDS,S24,Tronco Común,0,0,0,0,0,0
10,Ciencia De Datos,2,2,Licenciatura en Ingeniería en Desarrollo de Software,IDS,S24,Tronco Común,0,0,0,0,0,0
13,Estructuras De Datos,3,1,Licenciatura en Ingeniería en Desarrollo de Software,IDS,S24,Tronco Común,0,0,0,0,0,0
14,Bases De Datos,3,1,Licenciatura en Ingeniería en Desarrollo de Software,IDS,S24,Tronco Común,0,0,0,0,0,0
16,Metodologías Ágiles,3,2,Licenciatura en Ingeniería en Desarrollo de Software,IDS,S24,Tronco Común,0,0,0,0,0,0
19,Desarrollo Full Stack,4,1,Licenciatura en Ingeniería en Desarrollo de Software,IDS,S24,Tronco Común,0,0,0,0,0,0
20,Gestión De Redes,4,1,Licenciatura en Ingeniería en Desarrollo de Software,IDS,S24,Tronco Común,0,0,0,0,0,0
22,Fundamentos De DevOps,4,2,Licenciatura en Ingeniería en Desarrollo de Software,IDS,S24,Tronco Común,0,0,0,0,0,0
25,Desarrollo De Aplicaciones Móviles,5,1,Licenciatura en Ingeniería en Desarrollo de Software,IDS,S24,Tronco Común,0,0,0,0,0,0
26,Ingeniería De Software,5,1,Licenciatura en Ingeniería en Desarrollo de Software,IDS,S24,Tronco Común,0,0,0,0,0,0
28,Ciberseguridad,5,2,Licenciatura en Ingeniería en Desarrollo de Software,IDS,S24,Tronco Común,0,0,0,0,0,0
3,SEDI I,1,1,Licenciatura en Ingeniería en Desarrollo de Software,IDS,S24,SEDI,0,0,I,0,0,0
6,SEDI II,1,2,Licenciatura en Ingeniería en Desarrollo de Software,IDS,S24,SEDI,0,0,II,0,0,0
9,SEDI III,2,1,Licenciatura en Ingeniería en Desarrollo de Software,IDS,S24,SEDI,0,0,III,0,0,0
12,SEDI IV,2,2,Licenciatura en Ingeniería en Desarrollo de Software,IDS,S24,SEDI,0,0,IV,0,0,0
15,SEDI V,3,1,Licenciatura en Ingeniería en Desarrollo de Software,IDS,S24,SEDI,0,0,V,0,0,0
18,SEDI VI,3,2,Licenciatura en Ingeniería en Desarrollo de Software,IDS,S24,SEDI,0,0,VI,0,0,0
21,SEDI VII,4,1,Licenciatura en Ingeniería en Desarrollo de Software,IDS,S24,SEDI,0,0,VII,0,0,0
24,SEDI VIII,4,2,Licenciatura en Ingeniería en Desarrollo de Software,IDS,S24,SEDI,0,0,VIII,0,0,0
27,SEDI IX,5,1,Licenciatura en Ingeniería en Desarrollo de Software,IDS,S24,SEDI,0,0,IX,0,0,0
30,SEDI X,5,2,Licenciatura en Ingeniería en Desarrollo de Software,IDS,S24,SEDI,0,0,X,0,0,0
33,SEDI XI,6,1,Licenciatura en Ingeniería en Desarrollo de Software,IDS,S24,SEDI,0,0,XI,0,0,0
36,SEDI XII,6,2,Licenciatura en Ingeniería en Desarrollo de Software,IDS,S24,SEDI,0,0,XII,0,0,0
39,SEDI XIII,7,1,Licenciatura en Ingeniería en Desarrollo de Software,IDS,S24,SEDI,0,0,XIII,0,0,0
42,SEDI XIV,7,2,Licenciatura en Ingeniería en Desarrollo de Software,IDS,S24,SEDI,0,0,XIV,0,0,0
5,Inglés I,1,2,Licenciatura en Ingeniería en Desarrollo de Software,IDS,S24,Lenguaje,0,I,0,0,0,0
11,Inglés II,2,2,Licenciatura en Ingeniería en Desarrollo de Software,IDS,S24,Lenguaje,0,II,0,0,0,0
17,Inglés III,3,2,Licenciatura en Ingeniería en Desarrollo de Software,IDS,S24,Lenguaje,0,III,0,0,0,0
23,Inglés IV,4,2,Licenciatura en Ingeniería en Desarrollo de Software,IDS,S24,Lenguaje,0,IV,0,0,0,0
29,Inglés V,5,2,Licenciatura en Ingeniería en Desarrollo de Software,IDS,S24,Lenguaje,0,V,0,0,0,0
35,Inglés VI,6,2,Licenciatura en Ingeniería en Desarrollo de Software,IDS,S24,Lenguaje,0,VI,0,0,0,0
41,Inglés VII,7,2,Licenciatura en Ingeniería en Desarrollo de Software,IDS,S24,Lenguaje,0,VII,0,0,0,0
43,Estancia Empresarial I,8,1,Licenciatura en Ingeniería en Desarrollo de Software,IDS,S24,Estancia Empresarial,0,0,0,I,0,0
44,Estancia Empresarial II,8,1,Licenciatura en Ingeniería en Desarrollo de Software,IDS,S24,Estancia Empresarial,0,0,0,II,0,0
45,Estancia Empresarial III,8,2,Licenciatura en Ingeniería en Desarrollo de Software,IDS,S24,Estancia Empresarial,0,0,0,III,0,0
31,Negocios en América,6,1,Licenciatura en Comercio y Negocios Internacionales,LCN,S24,Optativa,I,0,0,0,Negocio Internacionales,LCN_Negocio Internacionales
32,Finanzas Internacionales,6,1,Licenciatura en Comercio y Negocios Internacionales,LCN,S24,Optativa,II,0,0,0,Negocio Internacionales,LCN_Negocio Internacionales
34,Importación y Exportación,6,2,Licenciatura en Comercio y Negocios Internacionales,LCN,S24,Optativa,III,0,0,0,Negocio Internacionales,LCN_Negocio Internacionales
37,Negocios en Asia y Europa,7,1,Licenciatura en Comercio y Negocios Internacionales,LCN,S24,Optativa,IV,0,0,0,Negocio Internacionales,LCN_Negocio Internacionales
38,Análisis de Mercados Internacionales,7,1,Licenciatura en Comercio y Negocios Internacionales,LCN,S24,Optativa,V,0,0,0,Negocio Internacionales,LCN_Negocio Internacionales
40,Contratos Internacionales,7,2,Licenciatura en Comercio y Negocios Internacionales,LCN,S24,Optativa,VI,0,0,0,Negocio Internacionales,LCN_Negocio Internacionales
31,"Empaque, Embalaje y Etiquetado",6,1,Licenciatura en Comercio y Negocios Internacionales,LCN,S24,Optativa,I,0,0,0,Logística y Cadena de Suministro,LCN_Logística y Cadena de Suministro
32,"Gestión de Centros de Distribución, Bodegas y Almacenes",6,1,Licenciatura en Comercio y Negocios Internacionales,LCN,S24,Optativa,II,0,0,0,Logística y Cadena de Suministro,LCN_Logística y Cadena de Suministro
34,Riesgos Financieros y Comerciales en Logística,6,2,Licenciatura en Comercio y Negocios Internacionales,LCN,S24,Optativa,III,0,0,0,Logística y Cadena de Suministro,LCN_Logística y Cadena de Suministro
37,Planeación de la Cadena de Suministro,7,1,Licenciatura en Comercio y Negocios Internacionales,LCN,S24,Optativa,IV,0,0,0,Logística y Cadena de Suministro,LCN_Logística y Cadena de Suministro
38,Merceología,7,1,Licenciatura en Comercio y Negocios Internacionales,LCN,S24,Optativa,V,0,0,0,Logística y Cadena de Suministro,LCN_Logística y Cadena de Suministro
40,Administración de Inventarios,7,2,Licenciatura en Comercio y Negocios Internacionales,LCN,S24,Optativa,VI,0,0,0,Logística y Cadena de Suministro,LCN_Logística y Cadena de Suministro
31,Semiótica Del Diseño Gráfico,6,1,Licenciatura en Diseño Gráfico y Animación,LDG,S24,Optativa,I,0,0,0,Diseño Gráfico            ,LDG_Diseño Gráfico            
32,Producción Editorial,6,1,Licenciatura en Diseño Gráfico y Animación,LDG,S24,Optativa,II,0,0,0,Diseño Gráfico            ,LDG_Diseño Gráfico            
34,Empaque Y Embalaje,6,2,Licenciatura en Diseño Gráfico y Animación,LDG,S24,Optativa,III,0,0,0,Diseño Gráfico            ,LDG_Diseño Gráfico            
37,Fotografía Digital,7,1,Licenciatura en Diseño Gráfico y Animación,LDG,S24,Optativa,IV,0,0,0,Diseño Gráfico            ,LDG_Diseño Gráfico            
38,Cultura Visual,7,1,Licenciatura en Diseño Gráfico y Animación,LDG,S24,Optativa,V,0,0,0,Diseño Gráfico            ,LDG_Diseño Gráfico            
40,Emprendimiento,7,2,Licenciatura en Diseño Gráfico y Animación,LDG,S24,Optativa,VI,0,0,0,Diseño Gráfico            ,LDG_Diseño Gráfico            
31,Inteligencia Artificial,6,1,Licenciatura en Diseño Gráfico y Animación,LDG,S24,Optativa,I,0,0,0,Animación      ,LDG_Animación      
32,Producción Y Composición Digital,6,1,Licenciatura en Diseño Gráfico y Animación,LDG,S24,Optativa,II,0,0,0,Animación      ,LDG_Animación      
34,Diseño Sonoro,6,2,Licenciatura en Diseño Gráfico y Animación,LDG,S24,Optativa,III,0,0,0,Animación      ,LDG_Animación      
37,Renderización E Iluminación,7,1,Licenciatura en Diseño Gráfico y Animación,LDG,S24,Optativa,IV,0,0,0,Animación      ,LDG_Animación      
38,Cultura Visual,7,1,Licenciatura en Diseño Gráfico y Animación,LDG,S24,Optativa,V,0,0,0,Animación      ,LDG_Animación      
40,Transformación Digital,7,2,Licenciatura en Diseño Gráfico y Animación,LDG,S24,Optativa,VI,0,0,0,Animación      ,LDG_Animación      
31,Programación De Videojuegos,6,1,Licenciatura en Diseño Gráfico y Animación,LDG,S24,Optativa,I,0,0,0,Producción Multimedia         ,LDG_Producción Multimedia         
32,Aplicaciones Interactivas,6,1,Licenciatura en Diseño Gráfico y Animación,LDG,S24,Optativa,II,0,0,0,Producción Multimedia         ,LDG_Producción Multimedia         
34,Diseño Y Animación De Videojuegos,6,2,Licenciatura en Diseño Gráfico y Animación,LDG,S24,Optativa,III,0,0,0,Producción Multimedia         ,LDG_Producción Multimedia         
37,Diseño Y Arquitecturas De Software,7,1,Licenciatura en Diseño Gráfico y Animación,LDG,S24,Optativa,IV,0,0,0,Producción Multimedia         ,LDG_Producción Multimedia         
38,Analítica Digital,7,1,Licenciatura en Diseño Gráfico y Animación,LDG,S24,Optativa,V,0,0,0,Producción Multimedia         ,LDG_Producción Multimedia         
40,Transformación Digital,7,2,Licenciatura en Diseño Gráfico y Animación,LDG,S24,Optativa,VI,0,0,0,Producción Multimedia         ,LDG_Producción Multimedia         
31,Auditoría Y Revisión De Sistemas De Calidad,6,1,Licenciatura en Ingeniería Industrial,IIN,S24,Optativa,I,0,0,0,Calidad Automotriz   ,IIN_Calidad Automotriz   
32,Gestión Y Control De Documentos,6,1,Licenciatura en Ingeniería Industrial,IIN,S24,Optativa,II,0,0,0,Calidad Automotriz   ,IIN_Calidad Automotriz   
34,Normatividad Automotriz,6,2,Licenciatura en Ingeniería Industrial,IIN,S24,Optativa,III,0,0,0,Calidad Automotriz   ,IIN_Calidad Automotriz   
37,Core Tools I,7,1,Licenciatura en Ingeniería Industrial,IIN,S24,Optativa,IV,0,0,0,Calidad Automotriz   ,IIN_Calidad Automotriz   
38,Core Tools Ii,7,1,Licenciatura en Ingeniería Industrial,IIN,S24,Optativa,V,0,0,0,Calidad Automotriz   ,IIN_Calidad Automotriz   
40,Liderazgo Estratégico,7,2,Licenciatura en Ingeniería Industrial,IIN,S24,Optativa,VI,0,0,0,Calidad Automotriz   ,IIN_Calidad Automotriz   
31,Fundamentos De Gestión De Proyectos,6,1,Licenciatura en Ingeniería Industrial,IIN,S24,Optativa,I,0,0,0,Gestión De Proyectos Green Belt      ,IIN_Gestión De Proyectos Green Belt      
32,Herramientas Y Software Para La Gestión De Proyectos,6,1,Licenciatura en Ingeniería Industrial,IIN,S24,Optativa,II,0,0,0,Gestión De Proyectos Green Belt      ,IIN_Gestión De Proyectos Green Belt      
34,Compras Y Desarrollo De Proveedores,6,2,Licenciatura en Ingeniería Industrial,IIN,S24,Optativa,III,0,0,0,Gestión De Proyectos Green Belt      ,IIN_Gestión De Proyectos Green Belt      
37,Lean Six Sigma Y Metodología Dmaic,7,1,Licenciatura en Ingeniería Industrial,IIN,S24,Optativa,IV,0,0,0,Gestión De Proyectos Green Belt      ,IIN_Gestión De Proyectos Green Belt      
38,Métodos Y Herramientas Avanzadas Green Belt,7,1,Licenciatura en Ingeniería Industrial,IIN,S24,Optativa,V,0,0,0,Gestión De Proyectos Green Belt      ,IIN_Gestión De Proyectos Green Belt      
40,Proyecto De Mejora Continua,7,2,Licenciatura en Ingeniería Industrial,IIN,S24,Optativa,VI,0,0,0,Gestión De Proyectos Green Belt      ,IIN_Gestión De Proyectos Green Belt      
31,Control Integral De Piso De Producción,6,1,Licenciatura en Ingeniería Industrial,IIN,S24,Optativa,I,0,0,0,Equipos De Alto Rendimiento,IIN_Equipos De Alto Rendimiento
32,Gestión De Documentos Clave Para Producción,6,1,Licenciatura en Ingeniería Industrial,IIN,S24,Optativa,II,0,0,0,Equipos De Alto Rendimiento,IIN_Equipos De Alto Rendimiento
34,Fundamentos De Seguridad Industrial,6,2,Licenciatura en Ingeniería Industrial,IIN,S24,Optativa,III,0,0,0,Equipos De Alto Rendimiento,IIN_Equipos De Alto Rendimiento
37,Cultura Organizacional,7,1,Licenciatura en Ingeniería Industrial,IIN,S24,Optativa,IV,0,0,0,Equipos De Alto Rendimiento,IIN_Equipos De Alto Rendimiento
38,Administración Del Cambio,7,1,Licenciatura en Ingeniería Industrial,IIN,S24,Optativa,V,0,0,0,Equipos De Alto Rendimiento,IIN_Equipos De Alto Rendimiento
40,Liderazgo Estratégico,7,2,Licenciatura en Ingeniería Industrial,IIN,S24,Optativa,VI,0,0,0,Equipos De Alto Rendimiento,IIN_Equipos De Alto Rendimiento
31,Herramientas Tecnológicas Para Análisis De Datos I,6,1,Licenciatura en Ingeniería Industrial,IIN,S24,Optativa,I,0,0,0,Análisis De Datos Y Digitalización     ,IIN_Análisis De Datos Y Digitalización     
32,Herramientas Tecnológicas Para Análisis De Datos Ii,6,1,Licenciatura en Ingeniería Industrial,IIN,S24,Optativa,II,0,0,0,Análisis De Datos Y Digitalización     ,IIN_Análisis De Datos Y Digitalización     
34,Estrategia Y Toma De Decisiones Basada En Datos,6,2,Licenciatura en Ingeniería Industrial,IIN,S24,Optativa,III,0,0,0,Análisis De Datos Y Digitalización     ,IIN_Análisis De Datos Y Digitalización     
37,Diseño Mecánico,7,1,Licenciatura en Ingeniería Industrial,IIN,S24,Optativa,IV,0,0,0,Análisis De Datos Y Digitalización     ,IIN_Análisis De Datos Y Digitalización     
38,Transformación Digital,7,1,Licenciatura en Ingeniería Industrial,IIN,S24,Optativa,V,0,0,0,Análisis De Datos Y Digitalización     ,IIN_Análisis De Datos Y Digitalización     
40,Modelado Y Simulación En La Gestión De Riesgos,7,2,Licenciatura en Ingeniería Industrial,IIN,S24,Optativa,VI,0,0,0,Análisis De Datos Y Digitalización     ,IIN_Análisis De Datos Y Digitalización     
31,Analítica De Big Data,6,1,Licenciatura en Ingeniería en Desarrollo de Software,IDS,S24,Optativa,I,0,0,0,Análisis De Datos       ,IDS_Análisis De Datos       
32,Visualización De Datos Masivos,6,1,Licenciatura en Ingeniería en Desarrollo de Software,IDS,S24,Optativa,II,0,0,0,Análisis De Datos       ,IDS_Análisis De Datos       
34,Análisis De Datos Con PowerBI,6,2,Licenciatura en Ingeniería en Desarrollo de Software,IDS,S24,Optativa,III,0,0,0,Análisis De Datos       ,IDS_Análisis De Datos       
37,Algoritmos De Aprendizaje Automático,7,1,Licenciatura en Ingeniería en Desarrollo de Software,IDS,S24,Optativa,IV,0,0,0,Análisis De Datos       ,IDS_Análisis De Datos       
38,Gestión De Tecnologías De Información,7,1,Licenciatura en Ingeniería en Desarrollo de Software,IDS,S24,Optativa,V,0,0,0,Análisis De Datos       ,IDS_Análisis De Datos       
40,Sistemas Y Tecnologías De Administración Del Conocimiento,7,2,Licenciatura en Ingeniería en Desarrollo de Software,IDS,S24,Optativa,VI,0,0,0,Análisis De Datos       ,IDS_Análisis De Datos       
31,Programación De Videojuegos,6,1,Licenciatura en Ingeniería en Desarrollo de Software,IDS,S24,Optativa,I,0,0,0,Diseño Y Programación De Videojuegos       ,IDS_Diseño Y Programación De Videojuegos       
32,Gestión Y Automatización De Pruebas De Software,6,1,Licenciatura en Ingeniería en Desarrollo de Software,IDS,S24,Optativa,II,0,0,0,Diseño Y Programación De Videojuegos       ,IDS_Diseño Y Programación De Videojuegos       
34,Aplicaciones Interactivas,6,2,Licenciatura en Ingeniería en Desarrollo de Software,IDS,S24,Optativa,III,0,0,0,Diseño Y Programación De Videojuegos       ,IDS_Diseño Y Programación De Videojuegos       
37,Diseño Y Arquitecturas De Software,7,1,Licenciatura en Ingeniería en Desarrollo de Software,IDS,S24,Optativa,IV,0,0,0,Diseño Y Programación De Videojuegos       ,IDS_Diseño Y Programación De Videojuegos       
38,Diseño Y Animación De Videojuegos,7,1,Licenciatura en Ingeniería en Desarrollo de Software,IDS,S24,Optativa,V,0,0,0,Diseño Y Programación De Videojuegos       ,IDS_Diseño Y Programación De Videojuegos       
40,Producción Y Composición Digital,7,2,Licenciatura en Ingeniería en Desarrollo de Software,IDS,S24,Optativa,VI,0,0,0,Diseño Y Programación De Videojuegos       ,IDS_Diseño Y Programación De Videojuegos       
31,Inteligencia Artificial,6,1,Licenciatura en Ingeniería en Desarrollo de Software,IDS,S24,Optativa,I,0,0,0,Inteligencia Artificial,IDS_Inteligencia Artificial
32,Visualización De Datos Masivos,6,1,Licenciatura en Ingeniería en Desarrollo de Software,IDS,S24,Optativa,II,0,0,0,Inteligencia Artificial,IDS_Inteligencia Artificial
34,Algoritmos De Aprendizaje Automático,6,2,Licenciatura en Ingeniería en Desarrollo de Software,IDS,S24,Optativa,III,0,0,0,Inteligencia Artificial,IDS_Inteligencia Artificial
37,Fundamentos De Computación Cuántica,7,1,Licenciatura en Ingeniería en Desarrollo de Software,IDS,S24,Optativa,IV,0,0,0,Inteligencia Artificial,IDS_Inteligencia Artificial
38,Tendencias Tecnológicas,7,1,Licenciatura en Ingeniería en Desarrollo de Software,IDS,S24,Optativa,V,0,0,0,Inteligencia Artificial,IDS_Inteligencia Artificial
40,Sistemas Y Tecnologías De Administración Del Conocimiento,7,2,Licenciatura en Ingeniería en Desarrollo de Software,IDS,S24,Optativa,VI,0,0,0,Inteligencia Artificial,IDS_Inteligencia Artificial
31,Especialización En Devops,6,1,Licenciatura en Ingeniería en Desarrollo de Software,IDS,S24,Optativa,I,0,0,0,Metodología DevOps,IDS_Metodología DevOps
32,Gestión Y Automatización De Pruebas De Software,6,1,Licenciatura en Ingeniería en Desarrollo de Software,IDS,S24,Optativa,II,0,0,0,Metodología DevOps,IDS_Metodología DevOps
34,Diseño Y Arquitecturas De Software,6,2,Licenciatura en Ingeniería en Desarrollo de Software,IDS,S24,Optativa,III,0,0,0,Metodología DevOps,IDS_Metodología DevOps
37,Herramientas De Tecnologías De Información,7,1,Licenciatura en Ingeniería en Desarrollo de Software,IDS,S24,Optativa,IV,0,0,0,Metodología DevOps,IDS_Metodología DevOps
38,Programación Con Código Bajo,7,1,Licenciatura en Ingeniería en Desarrollo de Software,IDS,S24,Optativa,V,0,0,0,Metodología DevOps,IDS_Metodología DevOps
40,Tópico Selecto De Tecnologías De Información,7,2,Licenciatura en Ingeniería en Desarrollo de Software,IDS,S24,Optativa,VI,0,0,0,Metodología DevOps,IDS_Metodología DevOps
31,Inteligencia De Amenazas Cibernéticas,6,1,Licenciatura en Ingeniería en Desarrollo de Software,IDS,S24,Optativa,I,0,0,0,Ciberseguridad           ,IDS_Ciberseguridad           
32,Diseño Y Arquitecturas De Software,6,1,Licenciatura en Ingeniería en Desarrollo de Software,IDS,S24,Optativa,II,0,0,0,Ciberseguridad           ,IDS_Ciberseguridad           
34,Tecnologías De Información De Vanguardia,6,2,Licenciatura en Ingeniería en Desarrollo de Software,IDS,S24,Optativa,III,0,0,0,Ciberseguridad           ,IDS_Ciberseguridad           
37,Herramientas De Tecnologías De Información,7,1,Licenciatura en Ingeniería en Desarrollo de Software,IDS,S24,Optativa,IV,0,0,0,Ciberseguridad           ,IDS_Ciberseguridad           
38,Gestión De Tecnologías De Información,7,1,Licenciatura en Ingeniería en Desarrollo de Software,IDS,S24,Optativa,V,0,0,0,Ciberseguridad           ,IDS_Ciberseguridad           
40,Tópico Selecto De Tecnologías De Información,7,2,Licenciatura en Ingeniería en Desarrollo de Software,IDS,S24,Optativa,VI,0,0,0,Ciberseguridad           ,IDS_Ciberseguridad           
31,Fundamentos De Big Data,6,1,Licenciatura en Ingeniería en Desarrollo de Software,IDS,S24,Optativa,I,0,0,0,Procesamiento De Datos A Gran Escala         ,IDS_Procesamiento De Datos A Gran Escala         
32,Programación En Scala Para La Ciencia De Datos,6,1,Licenciatura en Ingeniería en Desarrollo de Software,IDS,S24,Optativa,II,0,0,0,Procesamiento De Datos A Gran Escala         ,IDS_Procesamiento De Datos A Gran Escala         
34,Aplicaciones De Procesamiento Por Lotes De Datos Distribuidos,6,2,Licenciatura en Ingeniería en Desarrollo de Software,IDS,S24,Optativa,III,0,0,0,Procesamiento De Datos A Gran Escala         ,IDS_Procesamiento De Datos A Gran Escala         
37,Procesamiento En Tiempo Real De Datos Distribuidos,7,1,Licenciatura en Ingeniería en Desarrollo de Software,IDS,S24,Optativa,IV,0,0,0,Procesamiento De Datos A Gran Escala         ,IDS_Procesamiento De Datos A Gran Escala         
38,Gestión De Tecnologías De Información,7,1,Licenciatura en Ingeniería en Desarrollo de Software,IDS,S24,Optativa,V,0,0,0,Procesamiento De Datos A Gran Escala         ,IDS_Procesamiento De Datos A Gran Escala         
40,Administración De Big Data En Servidores Distribuidos,7,2,Licenciatura en Ingeniería en Desarrollo de Software,IDS,S24,Optativa,VI,0,0,0,Procesamiento De Datos A Gran Escala         ,IDS_Procesamiento De Datos A Gran Escala         
31,Fundamentos De Planificación Y Diseño,6,1,Licenciatura en Ingeniería en Mecatrónica,IMT,S24,Optativa,I,0,0,0,Mecatrónica Avanzada          ,IMT_Mecatrónica Avanzada          
32,Implementación Y Optimización En Manufactura,6,1,Licenciatura en Ingeniería en Mecatrónica,IMT,S24,Optativa,II,0,0,0,Mecatrónica Avanzada          ,IMT_Mecatrónica Avanzada          
34,Sistemas Hidráulicos Y Neumáticos,6,2,Licenciatura en Ingeniería en Mecatrónica,IMT,S24,Optativa,III,0,0,0,Mecatrónica Avanzada          ,IMT_Mecatrónica Avanzada          
37,Integración De Sistemas Mecatrónicos,7,1,Licenciatura en Ingeniería en Mecatrónica,IMT,S24,Optativa,IV,0,0,0,Mecatrónica Avanzada          ,IMT_Mecatrónica Avanzada          
38,Fundamentos De Gestión De Proyectos,7,1,Licenciatura en Ingeniería en Mecatrónica,IMT,S24,Optativa,V,0,0,0,Mecatrónica Avanzada          ,IMT_Mecatrónica Avanzada          
40,Diseño De Celdas De Manufactura,7,2,Licenciatura en Ingeniería en Mecatrónica,IMT,S24,Optativa,VI,0,0,0,Mecatrónica Avanzada          ,IMT_Mecatrónica Avanzada          
31,Programación De Plc,6,1,Licenciatura en Ingeniería en Mecatrónica,IMT,S24,Optativa,I,0,0,0,Automatización Industrial    ,IMT_Automatización Industrial    
32,Simulación De Procesos Y Gemelos Digitales,6,1,Licenciatura en Ingeniería en Mecatrónica,IMT,S24,Optativa,II,0,0,0,Automatización Industrial    ,IMT_Automatización Industrial    
34,Robótica Avanzada,6,2,Licenciatura en Ingeniería en Mecatrónica,IMT,S24,Optativa,III,0,0,0,Automatización Industrial    ,IMT_Automatización Industrial    
37,Robótica Móvil,7,1,Licenciatura en Ingeniería en Mecatrónica,IMT,S24,Optativa,IV,0,0,0,Automatización Industrial    ,IMT_Automatización Industrial    
38,Internet Industrial De Las Cosas Y Sistemas Embebidos,7,1,Licenciatura en Ingeniería en Mecatrónica,IMT,S24,Optativa,V,0,0,0,Automatización Industrial    ,IMT_Automatización Industrial    
40,Sistemas De Visión Y Procesamiento De Imágenes,7,2,Licenciatura en Ingeniería en Mecatrónica,IMT,S24,Optativa,VI,0,0,0,Automatización Industrial    ,IMT_Automatización Industrial    
31,Fundamentos De Ciencia E Ingeniería De Los Materiales,6,1,Licenciatura en Ingeniería en Mecatrónica,IMT,S24,Optativa,I,0,0,0,Semiconductores Y Micro Manufactura       ,IMT_Semiconductores Y Micro Manufactura       
32,Teoría De Dispositivos Semiconductores,6,1,Licenciatura en Ingeniería en Mecatrónica,IMT,S24,Optativa,II,0,0,0,Semiconductores Y Micro Manufactura       ,IMT_Semiconductores Y Micro Manufactura       
34,Introducción Al Empaquetado De Semiconductores,6,2,Licenciatura en Ingeniería en Mecatrónica,IMT,S24,Optativa,III,0,0,0,Semiconductores Y Micro Manufactura       ,IMT_Semiconductores Y Micro Manufactura       
37,Manufactura De Empaquetado De Semiconductores,7,1,Licenciatura en Ingeniería en Mecatrónica,IMT,S24,Optativa,IV,0,0,0,Semiconductores Y Micro Manufactura       ,IMT_Semiconductores Y Micro Manufactura       
38,Análisis De Elemento Finíto,7,1,Licenciatura en Ingeniería en Mecatrónica,IMT,S24,Optativa,V,0,0,0,Semiconductores Y Micro Manufactura       ,IMT_Semiconductores Y Micro Manufactura       
40,Empaquetado De Semiconductores Avanzado,7,2,Licenciatura en Ingeniería en Mecatrónica,IMT,S24,Optativa,VI,0,0,0,Semiconductores Y Micro Manufactura       ,IMT_Semiconductores Y Micro Manufactura       
31,Sistemas De Control Embebido,6,1,Licenciatura en Ingeniería en Mecatrónica,IMT,S24,Optativa,I,0,0,0,Sistemas De Control ,IMT_Sistemas De Control 
32,Control Avanzado,6,1,Licenciatura en Ingeniería en Mecatrónica,IMT,S24,Optativa,II,0,0,0,Sistemas De Control ,IMT_Sistemas De Control 
34,Automatización Y Control De Procesos De Fabricación,6,2,Licenciatura en Ingeniería en Mecatrónica,IMT,S24,Optativa,III,0,0,0,Sistemas De Control ,IMT_Sistemas De Control 
37,Control De Redes Y Comunicación Máquina A Máquina,7,1,Licenciatura en Ingeniería en Mecatrónica,IMT,S24,Optativa,IV,0,0,0,Sistemas De Control ,IMT_Sistemas De Control 
38,Sistemas De Control No Lineales,7,1,Licenciatura en Ingeniería en Mecatrónica,IMT,S24,Optativa,V,0,0,0,Sistemas De Control ,IMT_Sistemas De Control 
40,Simulación Y Diseño De Sistemas De Control,7,2,Licenciatura en Ingeniería en Mecatrónica,IMT,S24,Optativa,VI,0,0,0,Sistemas De Control ,IMT_Sistemas De Control 
